Student_ID,Gender,Age,Study_Hours,Attendance,Assignment_Score,Quiz_Score,Midterm_Score,Final_Score,Internet_Access,Parent_Education,Family_Income,Extra_Activities,Previous_GPA,Target,Grade,Risk_Level
1082,Female,21,4.8,95.1,53.6,47.4,62.0,64.6,No,Bachelor,Low,No,2.4,Pass,D,Medium
1083,Male,22,2.6,81.1,45.3,48.2,58.1,73.6,No,Bachelor,Low,No,3.3,Pass,C,Low
1084,Male,15,3.0,86.3,68.9,51.9,61.1,79.3,Yes,Bachelor,High,Yes,3.79,Pass,B,Low
1085,Male,16,4.2,88.3,83.5,70.0,72.9,82.9,No,Doctorate,Medium,No,3.4,Pass,B,Low
1086,Male,19,1.4,90.0,68.8,49.8,61.7,67.6,Yes,Bachelor,Medium,No,2.38,Pass,C,Low
1087,Female,16,3.5,68.3,52.8,39.7,49.9,63.8,Yes,High School,Medium,Yes,4.0,Pass,D,Medium
1088,Female,22,4.6,98.4,73.0,65.7,66.1,87.8,Yes,Bachelor,Low,No,3.4,Pass,A,Low
1089,Female,18,4.3,88.2,68.1,64.1,65.0,75.4,Yes,High School,Medium,Yes,2.53,Pass,B,Low
1090,Male,18,1.9,85.4,51.8,35.0,43.3,55.6,Yes,Master,Low,Yes,2.33,Pass,D,High
1091,Male,18,2.1,72.2,70.2,53.0,68.5,68.3,No,Bachelor,Medium,Yes,3.47,Pass,C,Medium
1092,Female,20,1.0,89.7,50.0,51.9,61.5,66.2,Yes,Bachelor,Low,Yes,2.9,Pass,C,Low
1093,Female,21,4.9,66.3,70.8,57.5,56.5,79.3,Yes,Master,Medium,Yes,2.29,Pass,B,Medium
1094,Female,20,9.2,80.7,68.2,70.0,69.8,89.1,Yes,High School,Medium,No,2.71,Pass,A,Low
1095,Female,15,1.7,81.8,49.9,60.6,50.9,60.2,Yes,High School,Medium,No,2.56,Pass,D,Medium
1096,Female,18,5.9,81.9,67.5,71.2,71.7,81.2,Yes,Bachelor,Low,Yes,2.31,Pass,B,Low
1097,Female,22,8.8,92.9,90.0,77.2,88.0,100.0,Yes,High School,Medium,Yes,3.41,Pass,A,Low
1098,Male,19,2.4,88.4,67.4,55.2,73.9,74.2,Yes,Bachelor,Medium,Yes,3.27,Pass,C,Low
1099,Male,16,3.0,81.9,58.6,50.9,63.2,69.0,Yes,None,Medium,Yes,3.3,Pass,C,Low
1100,Male,21,3.7,75.1,65.6,71.3,72.9,78.2,Yes,Master,Medium,Yes,3.29,Pass,B,Low
1101,Male,17,4.2,76.8,47.4,36.1,49.9,54.1,No,Doctorate,Medium,Yes,2.25,Pass,D,Medium
1102,Female,19,3.8,92.9,61.1,55.0,59.2,69.7,Yes,None,Medium,Yes,2.44,Pass,C,Low
1103,Male,21,2.5,91.3,71.9,60.7,78.5,72.5,Yes,Bachelor,Medium,Yes,3.68,Pass,C,Low
1104,Female,20,4.6,83.0,74.1,71.7,65.2,78.0,Yes,High School,High,No,2.86,Pass,B,Low
1105,Female,20,2.5,98.7,62.9,56.6,49.2,62.3,Yes,High School,Low,No,1.92,Pass,D,Medium
1106,Male,19,4.0,90.3,69.3,51.2,67.4,79.2,No,Master,Low,Yes,2.93,Pass,B,Low
1107,Male,20,3.1,85.9,79.9,76.8,72.0,78.7,Yes,Bachelor,Medium,Yes,3.19,Pass,B,Low
1108,Female,18,1.0,81.8,49.1,27.4,52.7,55.4,Yes,High School,High,Yes,3.11,Pass,D,Medium
1109,Male,15,6.4,93.6,68.5,77.6,77.7,78.7,No,Bachelor,High,No,2.24,Pass,B,Low
1110,Male,16,2.2,85.1,75.0,70.8,59.2,80.8,Yes,Bachelor,Medium,No,3.93,Pass,B,Low
1111,Male,15,6.7,92.0,72.5,77.5,80.4,83.7,Yes,Bachelor,Medium,No,1.9,Pass,B,Low
1112,Male,21,5.7,88.9,75.7,73.1,83.7,87.2,Yes,Doctorate,Medium,No,2.87,Pass,A,Low
1113,Female,16,3.7,93.2,74.8,65.4,80.6,89.4,Yes,Bachelor,Medium,Yes,3.84,Pass,A,Low
1114,Female,22,4.3,76.5,57.3,43.2,57.0,72.4,Yes,None,Medium,No,3.15,Pass,C,Low
1115,Female,16,4.6,81.9,69.7,79.1,73.6,79.2,Yes,Bachelor,High,Yes,3.3,Pass,B,Low
1116,Female,15,2.8,79.9,57.5,65.2,52.5,67.1,No,Master,Medium,Yes,2.17,Pass,C,Low
1117,Female,19,2.9,70.4,44.7,43.7,40.0,52.8,Yes,None,Medium,No,3.01,Pass,D,High
1118,Male,16,4.5,93.9,53.8,55.3,73.5,78.1,Yes,None,Medium,Yes,2.78,Pass,B,Low
1119,Female,22,3.2,83.3,47.8,63.3,59.1,62.8,Yes,High School,Medium,No,2.12,Pass,D,Medium
1120,Female,22,2.5,86.1,84.0,72.5,63.4,74.6,Yes,High School,Medium,Yes,3.32,Pass,C,Low
1121,Female,22,1.9,86.8,52.2,47.2,47.6,59.8,Yes,Bachelor,Medium,No,2.31,Pass,D,Medium
1122,Female,15,4.1,94.3,67.7,50.8,66.1,72.2,Yes,Bachelor,Low,Yes,2.38,Pass,C,Low
1123,Male,16,2.1,74.4,46.9,43.6,58.7,69.5,Yes,Bachelor,Low,Yes,3.06,Pass,C,Medium
1124,Male,17,5.2,79.9,68.5,73.1,68.5,77.8,Yes,None,Medium,No,2.71,Pass,B,Low
1125,Male,19,5.5,83.9,67.1,57.1,60.0,72.9,Yes,High School,High,No,2.9,Pass,C,Low
1126,Male,18,4.3,91.1,77.3,61.2,68.5,76.5,Yes,Bachelor,Low,No,2.68,Pass,B,Low
1127,Female,16,4.8,92.7,68.5,72.8,62.9,83.6,Yes,High School,Medium,No,3.65,Pass,B,Low
1128,Female,22,4.3,83.3,61.8,61.0,64.6,73.4,Yes,Doctorate,Medium,No,2.24,Pass,C,Low
1129,Male,17,5.0,99.2,55.0,59.4,60.0,77.3,Yes,None,Low,No,2.52,Pass,B,Low
1130,Female,18,4.9,81.5,69.9,63.8,85.4,87.9,Yes,Bachelor,High,Yes,3.09,Pass,A,Low
1131,Male,18,3.9,78.2,48.0,48.0,54.2,56.8,Yes,High School,High,Yes,2.21,Pass,D,Medium
1132,Male,21,5.8,97.4,55.9,54.9,70.1,82.4,No,Master,Low,Yes,2.18,Pass,B,Low
1133,Male,16,2.9,93.1,55.4,56.3,68.2,68.9,Yes,Bachelor,Medium,No,2.88,Pass,C,Low
1134,Male,15,2.0,94.8,61.0,54.3,52.9,70.8,Yes,Bachelor,Medium,Yes,3.32,Pass,C,Low
1135,Female,16,1.9,79.2,59.6,64.9,66.0,77.5,Yes,Doctorate,High,No,3.4,Pass,B,Low
1136,Male,17,2.6,96.7,60.3,52.4,64.4,68.7,Yes,None,Medium,Yes,2.86,Pass,C,Low
1137,Female,18,1.0,83.9,61.6,64.1,54.2,59.8,Yes,Bachelor,Low,No,2.4,Pass,D,Medium
1138,Female,16,3.6,85.1,79.4,67.6,71.4,76.2,Yes,Bachelor,Medium,Yes,2.97,Pass,B,Low
1139,Male,15,4.7,87.2,51.2,70.0,80.3,79.6,Yes,High School,High,Yes,3.14,Pass,B,Low
1140,Female,21,5.4,74.7,60.6,57.3,67.3,81.4,Yes,Bachelor,Low,No,2.96,Pass,B,Medium
1141,Female,16,1.0,97.8,69.3,63.7,77.3,72.7,Yes,Bachelor,Medium,Yes,3.54,Pass,C,Low
1142,Male,19,1.9,91.4,42.3,29.3,44.9,52.8,Yes,Bachelor,Low,Yes,2.19,Pass,D,High
1143,Female,21,5.1,73.9,57.3,65.0,54.9,74.7,Yes,High School,High,Yes,2.38,Pass,C,Medium
1144,Male,15,2.8,77.9,64.0,47.8,81.5,77.5,Yes,High School,Low,Yes,3.46,Pass,B,Low
1145,Male,17,4.6,70.3,53.5,58.8,58.3,64.4,No,High School,High,Yes,1.92,Pass,D,Medium
1146,Male,18,1.3,83.0,58.7,45.1,40.1,56.2,Yes,Bachelor,Medium,No,2.48,Pass,D,High
1147,Female,16,6.7,92.8,68.6,51.1,89.9,91.1,Yes,Bachelor,Medium,Yes,2.36,Pass,A,Low
1148,Female,15,1.3,79.9,55.1,46.3,52.3,63.1,Yes,Bachelor,High,No,1.86,Pass,D,Medium
1149,Male,21,3.6,88.9,70.3,51.6,50.9,77.5,Yes,Bachelor,High,Yes,2.69,Pass,B,Low
1150,Male,19,3.6,74.4,74.5,75.1,84.7,88.1,Yes,Bachelor,Medium,No,3.25,Pass,A,Medium
1151,Female,15,2.3,89.9,45.0,42.7,36.5,55.7,Yes,Master,Low,No,2.89,Pass,D,High
1152,Male,20,4.2,68.7,66.5,53.1,71.1,82.0,Yes,Bachelor,Medium,Yes,3.28,Pass,B,Medium
1153,Male,22,4.3,92.8,72.3,73.7,82.9,84.9,Yes,None,Medium,Yes,3.52,Pass,B,Low
1154,Male,19,4.0,97.9,61.8,61.8,74.7,72.3,Yes,Bachelor,Medium,Yes,2.57,Pass,C,Low
1155,Female,21,2.3,91.8,68.0,63.0,77.0,80.9,Yes,Bachelor,Medium,No,4.0,Pass,B,Low
1156,Male,17,2.0,86.8,35.9,44.3,57.9,65.6,Yes,High School,Low,No,2.59,Pass,C,Low
1157,Female,18,2.5,73.1,59.4,57.6,67.3,70.2,No,Bachelor,Medium,No,2.67,Pass,C,Medium
1158,Female,21,1.8,96.3,45.7,52.3,61.8,64.2,Yes,Doctorate,Medium,Yes,2.38,Pass,D,Medium
1159,Male,22,5.9,97.9,71.6,55.7,73.9,87.6,Yes,None,Low,Yes,3.13,Pass,A,Low
1160,Female,17,2.6,83.4,64.6,46.7,60.0,69.4,Yes,None,Medium,Yes,2.63,Pass,C,Low
1161,Male,16,3.5,76.9,49.5,56.8,69.6,70.2,Yes,High School,Medium,Yes,2.75,Pass,C,Low
1162,Female,15,5.1,88.1,77.6,65.4,75.0,82.6,Yes,Bachelor,Medium,Yes,2.68,Pass,B,Low
1163,Female,20,1.8,92.2,57.2,62.3,64.5,66.2,Yes,Bachelor,Low,Yes,2.66,Pass,C,Low
1164,Female,19,1.2,90.6,60.5,45.8,56.0,64.7,Yes,Bachelor,Medium,No,2.89,Pass,D,Medium
1165,Male,19,1.8,95.6,46.5,53.9,45.6,60.8,No,High School,Low,Yes,2.53,Pass,D,Medium
1166,Female,15,3.7,75.3,62.1,57.6,77.0,73.6,Yes,Doctorate,Medium,No,2.56,Pass,C,Low
1167,Male,20,3.6,84.6,56.0,72.1,72.4,82.3,Yes,None,Medium,Yes,3.44,Pass,B,Low
1168,Male,15,4.0,97.5,70.2,70.7,59.8,77.3,Yes,Bachelor,Medium,No,2.62,Pass,B,Low
1169,Male,16,3.0,80.0,62.2,54.9,54.1,67.5,Yes,High School,Low,No,3.03,Pass,C,Low
1170,Female,22,1.0,82.3,30.3,36.4,16.9,43.4,Yes,High School,Medium,No,2.27,Fail,F,High
1171,Female,17,2.9,74.8,58.3,67.0,61.7,78.7,Yes,Bachelor,High,No,2.53,Pass,B,Medium
1172,Male,21,5.5,93.0,67.3,53.9,59.2,71.5,Yes,Bachelor,Low,No,2.06,Pass,C,Low
1173,Female,19,6.3,86.0,75.3,56.7,77.4,93.9,Yes,None,High,No,3.91,Pass,A,Low
1174,Male,16,3.4,65.5,50.8,55.4,60.0,66.6,No,Bachelor,Medium,Yes,3.63,Pass,C,Medium
1175,Female,17,3.6,96.4,80.3,70.4,84.5,86.8,Yes,Bachelor,Medium,No,3.16,Pass,A,Low
1176,Male,16,4.6,84.1,74.0,91.1,96.7,89.7,Yes,Bachelor,Low,No,4.0,Pass,A,Low
1177,Female,20,6.2,88.1,75.6,62.5,79.5,96.4,Yes,High School,Low,No,3.26,Pass,A,Low
1178,Male,19,3.2,88.0,71.3,58.5,73.1,77.3,Yes,None,High,Yes,2.7,Pass,B,Low
1179,Female,21,4.5,82.4,75.9,72.3,76.5,86.1,Yes,Bachelor,Medium,Yes,3.02,Pass,A,Low
1180,Male,15,2.2,96.3,66.6,63.0,62.2,69.8,Yes,None,Low,No,3.62,Pass,C,Low
1181,Male,15,1.4,95.3,44.3,56.8,55.6,59.2,Yes,Bachelor,Medium,No,2.27,Pass,D,Medium
1182,Male,17,2.4,85.6,45.4,44.8,53.8,61.4,Yes,Master,Low,Yes,2.1,Pass,D,Medium
1183,Female,21,7.0,87.5,68.5,58.1,74.5,86.0,Yes,High School,Medium,Yes,3.04,Pass,A,Low
1184,Female,22,4.6,87.0,65.4,60.6,73.6,79.8,Yes,Bachelor,Medium,Yes,2.45,Pass,B,Low
1185,Male,18,1.4,87.8,46.0,35.2,57.7,63.4,Yes,Master,High,Yes,1.44,Pass,D,Medium
1186,Female,20,4.7,86.1,58.8,66.8,58.7,74.6,No,Master,Medium,Yes,2.05,Pass,C,Low
1187,Female,17,1.5,84.4,56.5,44.4,55.5,59.8,Yes,Master,Low,Yes,2.61,Pass,D,Medium
1188,Female,18,4.0,90.5,64.2,58.9,63.7,73.0,Yes,High School,Medium,No,2.83,Pass,C,Low
1189,Female,16,1.7,93.4,60.4,63.7,66.9,68.2,Yes,None,Medium,Yes,2.85,Pass,C,Low
1190,Male,20,1.4,89.1,54.4,53.5,53.7,65.9,No,None,Medium,Yes,4.0,Pass,C,Low
1191,Male,16,7.6,96.9,74.8,67.0,77.7,90.7,Yes,High School,High,No,2.68,Pass,A,Low
1192,Female,22,2.6,84.3,56.8,44.4,47.6,64.2,Yes,None,Medium,No,2.97,Pass,D,Medium
1193,Female,21,4.5,94.8,53.4,55.4,84.8,78.9,Yes,High School,Low,No,1.82,Pass,B,Low
1194,Female,19,3.3,87.5,72.6,59.1,59.8,75.6,Yes,Bachelor,High,Yes,2.78,Pass,B,Low
1195,Male,20,1.6,87.2,65.9,52.2,49.7,65.9,Yes,Bachelor,Low,No,3.0,Pass,C,Low
1196,Male,18,2.8,93.5,54.8,36.1,46.0,61.3,Yes,None,Low,Yes,1.97,Pass,D,Medium
1197,Female,22,1.6,93.5,52.1,63.3,58.3,75.2,Yes,High School,Medium,No,2.24,Pass,B,Low
1198,Female,19,10.0,96.5,94.7,92.5,100.0,100.0,Yes,Bachelor,High,No,3.09,Pass,A,Low
1199,Female,15,5.0,91.8,80.0,64.8,76.4,84.2,Yes,Bachelor,Medium,Yes,2.47,Pass,B,Low
1200,Female,18,3.2,93.2,61.5,56.8,57.5,64.3,Yes,Bachelor,Low,Yes,2.74,Pass,D,Medium
1201,Female,17,4.4,92.9,65.0,73.4,82.1,83.5,Yes,Bachelor,Medium,Yes,3.12,Pass,B,Low
1202,Male,15,4.8,97.9,80.8,83.2,88.1,92.6,No,High School,Medium,No,4.0,Pass,A,Low
1203,Male,22,4.8,92.6,59.1,63.9,72.6,76.5,No,Master,Medium,Yes,2.67,Pass,B,Low
1204,Female,15,4.7,90.0,71.9,63.6,81.6,82.8,Yes,None,Low,No,3.86,Pass,B,Low
1205,Female,17,4.5,82.5,57.8,65.8,60.2,64.5,Yes,Master,Medium,Yes,1.62,Pass,D,Medium
1206,Male,20,3.4,85.0,73.4,65.1,73.0,78.8,Yes,Doctorate,High,Yes,2.89,Pass,B,Low
1207,Male,15,7.3,79.7,65.5,80.3,80.4,91.4,Yes,Bachelor,Medium,No,2.6,Pass,A,Low
1208,Female,21,3.5,87.7,57.2,53.2,55.7,65.2,Yes,Bachelor,Low,No,2.48,Pass,C,Low
1209,Male,18,3.3,70.7,63.2,75.5,71.9,67.4,Yes,Bachelor,High,No,3.19,Pass,C,Medium
1210,Male,19,3.6,94.8,63.8,59.5,69.0,76.7,No,High School,Medium,Yes,2.67,Pass,B,Low
1211,Female,15,3.7,83.2,58.5,42.1,46.5,63.0,No,None,High,Yes,1.59,Pass,D,Medium
1212,Female,18,1.0,85.6,49.3,71.1,43.1,60.1,Yes,High School,Low,Yes,1.85,Pass,D,High
1213,Female,16,1.8,69.7,39.6,29.7,30.4,45.6,Yes,None,Low,Yes,3.23,Fail,F,High
1214,Male,18,3.0,93.4,53.5,37.8,61.9,62.0,No,High School,Medium,Yes,1.82,Pass,D,Medium
1215,Female,19,1.0,91.1,66.2,32.4,68.3,62.8,No,Master,Medium,No,3.25,Pass,D,Medium
1216,Male,18,3.2,87.9,65.3,78.0,58.2,72.0,No,High School,Medium,Yes,2.87,Pass,C,Low
1217,Male,17,3.7,88.5,71.3,85.3,75.5,79.2,Yes,High School,Medium,Yes,2.7,Pass,B,Low
1218,Female,22,1.3,93.4,54.4,55.6,68.4,65.8,Yes,Master,Low,Yes,2.75,Pass,C,Low
1219,Female,19,2.1,61.5,34.7,44.2,47.7,52.9,Yes,High School,Medium,No,3.11,Pass,D,Medium
1220,Female,22,6.4,85.9,77.3,68.4,67.8,83.6,Yes,Master,Medium,No,2.09,Pass,B,Low
1221,Female,20,4.4,94.2,75.0,60.5,94.6,84.1,Yes,Bachelor,Medium,Yes,2.83,Pass,B,Low
1222,Female,22,4.3,74.5,61.9,64.0,60.2,69.5,Yes,High School,Medium,Yes,2.12,Pass,C,Medium
1223,Male,16,6.0,75.7,72.4,74.1,69.8,79.7,No,None,Medium,Yes,2.9,Pass,B,Low
1224,Male,17,1.9,92.5,62.2,41.1,56.2,60.0,No,Bachelor,Medium,No,3.19,Pass,D,Medium
1225,Male,20,1.3,79.5,59.0,53.9,61.8,66.8,Yes,Master,Medium,No,2.9,Pass,C,Low
1226,Male,18,5.6,90.3,69.4,65.9,70.5,81.9,No,Bachelor,Medium,No,3.17,Pass,B,Low
1227,Female,19,3.1,77.5,62.9,57.4,77.5,65.2,Yes,Bachelor,Low,Yes,2.38,Pass,C,Low
1228,Male,16,1.8,89.5,57.1,48.1,69.1,70.2,Yes,Bachelor,Medium,Yes,2.76,Pass,C,Low
1229,Female,17,1.0,82.4,41.9,40.1,46.1,53.2,Yes,High School,High,No,2.66,Pass,D,Medium
1230,Female,20,3.6,89.6,64.6,65.7,79.1,80.5,Yes,Bachelor,Medium,No,2.62,Pass,B,Low
1231,Female,20,2.8,78.0,41.1,59.4,51.3,62.3,Yes,Bachelor,Low,No,2.32,Pass,D,Medium
